title,brand,category,price_gbp,mrp_gbp,discount_pct,rating,review_count,availability,detail_url,scraped_at,price_tier,discount_bucket,rating_label,savings_gbp,high_value_deal,review_tier
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),Macmillan,Self-Help,53.9,60.83,11.39,2,843,In stock,https://books.toscrape.com/catalogue/judo-seven-steps-to-black-belt-an-introductory-guide-for-beginners_903/index.html,2026-03-16 17:00:54,Premium (£35–£60),10–25%,Poor,6.93,0,Viral
Join,Simonschuster,Children,35.67,42.21,15.49,5,1114,In stock,https://books.toscrape.com/catalogue/join_902/index.html,2026-03-16 17:00:54,Premium (£35–£60),10–25%,Excellent,6.54,0,Viral
In the Country We Love: My Family Divided,Penguinbooks,Non-Fiction,22.0,32.97,33.27,4,765,In stock,https://books.toscrape.com/catalogue/in-the-country-we-love-my-family-divided_901/index.html,2026-03-16 17:00:54,Mid (£20–£35),25–40%,Good,10.97,1,Viral
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,Bloomsbury,Non-Fiction,57.36,78.39,26.83,5,534,In stock,https://books.toscrape.com/catalogue/immunity-how-elie-metchnikoff-changed-the-course-of-modern-medicine_900/index.html,2026-03-16 17:01:00,Premium (£35–£60),25–40%,Excellent,21.03,0,Viral
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",Simonschuster,Biography,29.17,40.93,28.73,2,1954,In stock,https://books.toscrape.com/catalogue/i-hate-fairyland-vol-1-madly-ever-after-i-hate-fairyland-compilations-1-5_899/index.html,2026-03-16 17:01:00,Mid (£20–£35),25–40%,Poor,11.76,0,Viral
I am a Hero Omnibus Volume 1,Harpercollins,Children,54.63,74.33,26.5,3,656,In stock,https://books.toscrape.com/catalogue/i-am-a-hero-omnibus-volume-1_898/index.html,2026-03-16 17:01:00,Premium (£35–£60),25–40%,Average,19.7,0,Viral
How to Be Miserable: 40 Strategies You Already Use,Randomhouse,Fiction,46.03,52.69,12.64,1,822,In stock,https://books.toscrape.com/catalogue/how-to-be-miserable-40-strategies-you-already-use_897/index.html,2026-03-16 17:01:00,Premium (£35–£60),10–25%,Very Poor,6.66,0,Viral
Her Backup Boyfriend (The Sorensen Family #1),Cambridgepress,Biography,33.97,38.25,11.19,1,920,In stock,https://books.toscrape.com/catalogue/her-backup-boyfriend-the-sorensen-family-1_896/index.html,2026-03-16 17:01:00,Mid (£20–£35),10–25%,Very Poor,4.28,0,Viral
"Giant Days, Vol. 2 (Giant Days #5-8)",Simonschuster,Technology,22.11,26.94,17.93,2,204,In stock,https://books.toscrape.com/catalogue/giant-days-vol-2-giant-days-5-8_895/index.html,2026-03-16 17:01:00,Mid (£20–£35),10–25%,Poor,4.83,0,High
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,Simonschuster,Biography,29.69,35.8,17.07,3,259,In stock,https://books.toscrape.com/catalogue/forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html,2026-03-16 17:01:00,Mid (£20–£35),10–25%,Average,6.11,0,High
First and First (Five Boroughs #3),Oxfordpress,Fiction,15.97,17.61,9.31,4,1571,In stock,https://books.toscrape.com/catalogue/first-and-first-five-boroughs-3_893/index.html,2026-03-16 17:01:00,Economy (£10–£20),<10%,Good,1.64,0,Viral
Fifty Shades Darker (Fifty Shades #2),Hachettebook,Fiction,21.96,30.52,28.05,1,1137,In stock,https://books.toscrape.com/catalogue/fifty-shades-darker-fifty-shades-2_892/index.html,2026-03-16 17:01:00,Mid (£20–£35),25–40%,Very Poor,8.56,0,Viral
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,Simonschuster,Science,54.35,78.46,30.73,2,713,In stock,https://books.toscrape.com/catalogue/everydata-the-misinformation-hidden-in-the-little-data-you-consume-every-day_891/index.html,2026-03-16 17:01:00,Premium (£35–£60),25–40%,Poor,24.11,0,Viral
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",Harpercollins,Non-Fiction,37.97,52.01,26.99,2,1697,In stock,https://books.toscrape.com/catalogue/dont-be-a-jerk-and-other-practical-advice-from-dogen-japans-greatest-zen-master_890/index.html,2026-03-16 17:01:00,Premium (£35–£60),25–40%,Poor,14.04,0,Viral
Danganronpa Volume 1,Cambridgepress,Fiction,51.99,74.02,29.76,4,497,In stock,https://books.toscrape.com/catalogue/danganronpa-volume-1_889/index.html,2026-03-16 17:01:00,Premium (£35–£60),25–40%,Good,22.03,1,High
Crown of Midnight (Throne of Glass #2),Hachettebook,Fiction,43.29,51.96,16.69,3,368,In stock,https://books.toscrape.com/catalogue/crown-of-midnight-throne-of-glass-2_888/index.html,2026-03-16 17:01:00,Premium (£35–£60),10–25%,Average,8.67,0,High
"Codename Baboushka, Volume 1: The Conclave of Death",Cambridgepress,Fiction,36.72,54.24,32.3,4,1446,In stock,https://books.toscrape.com/catalogue/codename-baboushka-volume-1-the-conclave-of-death_887/index.html,2026-03-16 17:01:00,Premium (£35–£60),25–40%,Good,17.52,1,Viral
Camp Midnight,Scholastic,Self-Help,17.08,24.2,29.42,4,479,In stock,https://books.toscrape.com/catalogue/camp-midnight_886/index.html,2026-03-16 17:01:00,Economy (£10–£20),25–40%,Good,7.12,1,High
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,Cambridgepress,Technology,29.14,42.59,31.58,5,233,In stock,https://books.toscrape.com/catalogue/call-the-nurse-true-stories-of-a-country-nurse-on-a-scottish-isle_885/index.html,2026-03-16 17:01:00,Mid (£20–£35),25–40%,Excellent,13.45,1,High
Burning,Harpercollins,Self-Help,28.81,39.56,27.17,3,1011,In stock,https://books.toscrape.com/catalogue/burning_884/index.html,2026-03-16 17:01:00,Mid (£20–£35),25–40%,Average,10.75,0,Viral
Bossypants,Scholastic,Technology,49.46,70.94,30.28,2,1167,In stock,https://books.toscrape.com/catalogue/bossypants_883/index.html,2026-03-16 17:01:00,Premium (£35–£60),25–40%,Poor,21.48,0,Viral
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",Scholastic,Biography,37.92,53.12,28.61,2,1005,In stock,https://books.toscrape.com/catalogue/bitch-planet-vol-1-extraordinary-machine-bitch-planet-collected-editions_882/index.html,2026-03-16 17:01:00,Premium (£35–£60),25–40%,Poor,15.2,0,Viral
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",Cambridgepress,History,28.09,40.67,30.93,2,1954,In stock,https://books.toscrape.com/catalogue/avatar-the-last-airbender-smoke-and-shadow-part-3-smoke-and-shadow-3_881/index.html,2026-03-16 17:01:00,Mid (£20–£35),25–40%,Poor,12.58,0,Viral
Algorithms to Live By: The Computer Science of Human Decisions,Hachettebook,Children,30.81,42.1,26.82,1,1357,In stock,https://books.toscrape.com/catalogue/algorithms-to-live-by-the-computer-science-of-human-decisions_880/index.html,2026-03-16 17:01:05,Mid (£20–£35),25–40%,Very Poor,11.29,0,Viral
A World of Flavor: Your Gluten Free Passport,Scholastic,Children,42.95,46.21,7.05,1,475,In stock,https://books.toscrape.com/catalogue/a-world-of-flavor-your-gluten-free-passport_879/index.html,2026-03-16 17:01:05,Premium (£35–£60),<10%,Very Poor,3.26,0,High
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",Bloomsbury,Non-Fiction,56.76,65.78,13.71,5,976,In stock,https://books.toscrape.com/catalogue/a-piece-of-sky-a-grain-of-rice-a-memoir-in-four-meditations_878/index.html,2026-03-16 17:01:05,Premium (£35–£60),10–25%,Excellent,9.02,0,Viral
A Murder in Time,Penguinbooks,Non-Fiction,16.64,23.61,29.52,1,1113,In stock,https://books.toscrape.com/catalogue/a-murder-in-time_877/index.html,2026-03-16 17:01:05,Economy (£10–£20),25–40%,Very Poor,6.97,0,Viral
A Flight of Arrows (The Pathfinders #2),Simonschuster,Self-Help,55.53,76.08,27.01,5,1440,In stock,https://books.toscrape.com/catalogue/a-flight-of-arrows-the-pathfinders-2_876/index.html,2026-03-16 17:01:05,Premium (£35–£60),25–40%,Excellent,20.55,0,Viral
A Fierce and Subtle Poison,Scholastic,Fiction,28.13,30.1,6.54,4,492,In stock,https://books.toscrape.com/catalogue/a-fierce-and-subtle-poison_875/index.html,2026-03-16 17:01:05,Mid (£20–£35),<10%,Good,1.97,0,High
A Court of Thorns and Roses (A Court of Thorns and Roses #1),Cambridgepress,Biography,52.37,61.79,15.25,1,1311,In stock,https://books.toscrape.com/catalogue/a-court-of-thorns-and-roses-a-court-of-thorns-and-roses-1_874/index.html,2026-03-16 17:01:05,Premium (£35–£60),10–25%,Very Poor,9.42,0,Viral
(Un)Qualified: How God Uses Broken People to Do Big Things,Bloomsbury,Self-Help,54.0,68.93,21.66,5,1201,In stock,https://books.toscrape.com/catalogue/unqualified-how-god-uses-broken-people-to-do-big-things_873/index.html,2026-03-16 17:01:05,Premium (£35–£60),10–25%,Excellent,14.93,0,Viral
You Are What You Love: The Spiritual Power of Habit,Scholastic,Self-Help,21.87,29.06,24.74,4,268,In stock,https://books.toscrape.com/catalogue/you-are-what-you-love-the-spiritual-power-of-habit_872/index.html,2026-03-16 17:01:05,Mid (£20–£35),10–25%,Good,7.19,0,High
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",Randomhouse,Biography,43.3,57.29,24.42,4,348,In stock,https://books.toscrape.com/catalogue/william-shakespeares-star-wars-verily-a-new-hope-william-shakespeares-star-wars-4_871/index.html,2026-03-16 17:01:05,Premium (£35–£60),10–25%,Good,13.99,0,High
Tuesday Nights in 1980,Oxfordpress,Children,21.04,30.65,31.35,2,1898,In stock,https://books.toscrape.com/catalogue/tuesday-nights-in-1980_870/index.html,2026-03-16 17:01:05,Mid (£20–£35),25–40%,Poor,9.61,0,Viral
Tracing Numbers on a Train,Bloomsbury,Children,41.6,51.31,18.92,3,1996,In stock,https://books.toscrape.com/catalogue/tracing-numbers-on-a-train_869/index.html,2026-03-16 17:01:05,Premium (£35–£60),10–25%,Average,9.71,0,Viral
Throne of Glass (Throne of Glass #1),Oxfordpress,History,35.07,43.21,18.84,3,939,In stock,https://books.toscrape.com/catalogue/throne-of-glass-throne-of-glass-1_868/index.html,2026-03-16 17:01:05,Premium (£35–£60),10–25%,Average,8.14,0,Viral
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,Cambridgepress,Science,59.64,69.53,14.22,1,1590,In stock,https://books.toscrape.com/catalogue/thomas-jefferson-and-the-tripoli-pirates-the-forgotten-war-that-changed-american-history_867/index.html,2026-03-16 17:01:05,Premium (£35–£60),10–25%,Very Poor,9.89,0,Viral
Thirteen Reasons Why,Hachettebook,Fiction,52.72,60.77,13.25,1,589,In stock,https://books.toscrape.com/catalogue/thirteen-reasons-why_866/index.html,2026-03-16 17:01:05,Premium (£35–£60),10–25%,Very Poor,8.05,0,Viral
The White Cat and the Monk: A Retelling of the Poem âPangur BÃ¡nâ,Harpercollins,History,58.08,77.41,24.97,4,1285,In stock,https://books.toscrape.com/catalogue/the-white-cat-and-the-monk-a-retelling-of-the-poem-pangur-ban_865/index.html,2026-03-16 17:01:05,Premium (£35–£60),10–25%,Good,19.33,0,Viral
The Wedding Dress,Bloomsbury,Fiction,24.12,31.49,23.4,1,24,In stock,https://books.toscrape.com/catalogue/the-wedding-dress_864/index.html,2026-03-16 17:01:05,Mid (£20–£35),10–25%,Very Poor,7.37,0,Low
The Vacationers,Penguinbooks,Fiction,42.15,59.52,29.18,4,1827,In stock,https://books.toscrape.com/catalogue/the-vacationers_863/index.html,2026-03-16 17:01:05,Premium (£35–£60),25–40%,Good,17.37,1,Viral
The Third Wave: An Entrepreneurâs Vision of the Future,Harpercollins,Biography,12.61,14.05,10.25,5,696,In stock,https://books.toscrape.com/catalogue/the-third-wave-an-entrepreneurs-vision-of-the-future_862/index.html,2026-03-16 17:01:05,Economy (£10–£20),10–25%,Excellent,1.44,0,Viral
The Stranger,Macmillan,Self-Help,17.44,22.67,23.07,4,968,In stock,https://books.toscrape.com/catalogue/the-stranger_861/index.html,2026-03-16 17:01:05,Economy (£10–£20),10–25%,Good,5.23,0,Viral
The Shadow Hero (The Shadow Hero),Harpercollins,Technology,33.14,42.65,22.3,1,48,In stock,https://books.toscrape.com/catalogue/the-shadow-hero-the-shadow-hero_860/index.html,2026-03-16 17:01:08,Mid (£20–£35),10–25%,Very Poor,9.51,0,Low
The Secret (The Secret #1),Hachettebook,Self-Help,27.37,33.17,17.49,4,707,In stock,https://books.toscrape.com/catalogue/the-secret-the-secret-1_859/index.html,2026-03-16 17:01:08,Mid (£20–£35),10–25%,Good,5.8,0,Viral
The Regional Office Is Under Attack!,Oxfordpress,Fiction,51.36,69.06,25.63,5,1570,In stock,https://books.toscrape.com/catalogue/the-regional-office-is-under-attack_858/index.html,2026-03-16 17:01:08,Premium (£35–£60),25–40%,Excellent,17.7,0,Viral
The Psychopath Test: A Journey Through the Madness Industry,Bloomsbury,Technology,36.0,47.92,24.87,2,457,In stock,https://books.toscrape.com/catalogue/the-psychopath-test-a-journey-through-the-madness-industry_857/index.html,2026-03-16 17:01:08,Premium (£35–£60),10–25%,Poor,11.92,0,High
The Project,Randomhouse,Fiction,10.65,11.6,8.19,1,405,In stock,https://books.toscrape.com/catalogue/the-project_856/index.html,2026-03-16 17:01:08,Economy (£10–£20),<10%,Very Poor,0.95,0,High
The Power of Now: A Guide to Spiritual Enlightenment,Randomhouse,Technology,43.54,62.83,30.7,2,1082,In stock,https://books.toscrape.com/catalogue/the-power-of-now-a-guide-to-spiritual-enlightenment_855/index.html,2026-03-16 17:01:08,Premium (£35–£60),25–40%,Poor,19.29,0,Viral
The Omnivore's Dilemma: A Natural History of Four Meals,Hachettebook,Children,38.21,46.44,17.72,2,1206,In stock,https://books.toscrape.com/catalogue/the-omnivores-dilemma-a-natural-history-of-four-meals_854/index.html,2026-03-16 17:01:08,Premium (£35–£60),10–25%,Poor,8.23,0,Viral
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,Harpercollins,Science,37.34,52.21,28.48,5,621,In stock,https://books.toscrape.com/catalogue/the-nerdy-nummies-cookbook-sweet-treats-for-the-geek-in-all-of-us_853/index.html,2026-03-16 17:01:08,Premium (£35–£60),25–40%,Excellent,14.87,0,Viral
The Murder of Roger Ackroyd (Hercule Poirot #4),Hachettebook,Fiction,44.1,62.25,29.16,4,1977,In stock,https://books.toscrape.com/catalogue/the-murder-of-roger-ackroyd-hercule-poirot-4_852/index.html,2026-03-16 17:01:08,Premium (£35–£60),25–40%,Good,18.15,1,Viral
The Mistake (Off-Campus #2),Hachettebook,Biography,43.29,51.55,16.02,3,1755,In stock,https://books.toscrape.com/catalogue/the-mistake-off-campus-2_851/index.html,2026-03-16 17:01:08,Premium (£35–£60),10–25%,Average,8.26,0,Viral
The Matchmaker's Playbook (Wingmen Inc. #1),Oxfordpress,Biography,55.85,83.11,32.8,1,483,In stock,https://books.toscrape.com/catalogue/the-matchmakers-playbook-wingmen-inc-1_850/index.html,2026-03-16 17:01:08,Premium (£35–£60),25–40%,Very Poor,27.26,0,High
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,Scholastic,Non-Fiction,37.6,46.27,18.74,2,987,In stock,https://books.toscrape.com/catalogue/the-love-and-lemons-cookbook-an-apple-to-zucchini-celebration-of-impromptu-cooking_849/index.html,2026-03-16 17:01:08,Premium (£35–£60),10–25%,Poor,8.67,0,Viral
The Long Shadow of Small Ghosts: Murder and Memory in an American City,Penguinbooks,History,10.97,12.8,14.3,1,440,In stock,https://books.toscrape.com/catalogue/the-long-shadow-of-small-ghosts-murder-and-memory-in-an-american-city_848/index.html,2026-03-16 17:01:08,Economy (£10–£20),10–25%,Very Poor,1.83,0,High
The Kite Runner,Oxfordpress,Children,41.82,44.76,6.57,4,574,In stock,https://books.toscrape.com/catalogue/the-kite-runner_847/index.html,2026-03-16 17:01:08,Premium (£35–£60),<10%,Good,2.94,0,Viral
The House by the Lake,Hachettebook,History,36.95,47.59,22.36,1,1257,In stock,https://books.toscrape.com/catalogue/the-house-by-the-lake_846/index.html,2026-03-16 17:01:08,Premium (£35–£60),10–25%,Very Poor,10.64,0,Viral
The Glittering Court (The Glittering Court #1),Simonschuster,Biography,44.28,59.83,25.99,1,1708,In stock,https://books.toscrape.com/catalogue/the-glittering-court-the-glittering-court-1_845/index.html,2026-03-16 17:01:08,Premium (£35–£60),25–40%,Very Poor,15.55,0,Viral
The Girl on the Train,Hachettebook,Non-Fiction,55.02,60.58,9.18,2,1218,In stock,https://books.toscrape.com/catalogue/the-girl-on-the-train_844/index.html,2026-03-16 17:01:08,Premium (£35–£60),<10%,Poor,5.56,0,Viral
The Genius of Birds,Hachettebook,Technology,17.24,18.32,5.9,1,71,In stock,https://books.toscrape.com/catalogue/the-genius-of-birds_843/index.html,2026-03-16 17:01:08,Economy (£10–£20),<10%,Very Poor,1.08,0,Moderate
The Emerald Mystery,Harpercollins,Fiction,23.15,32.43,28.62,2,1755,In stock,https://books.toscrape.com/catalogue/the-emerald-mystery_842/index.html,2026-03-16 17:01:08,Mid (£20–£35),25–40%,Poor,9.28,0,Viral
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,Hachettebook,History,41.25,60.1,31.36,1,923,In stock,https://books.toscrape.com/catalogue/the-cookies-cups-cookbook-125-sweet-savory-recipes-reminding-you-to-always-eat-dessert-first_841/index.html,2026-03-16 17:01:08,Premium (£35–£60),25–40%,Very Poor,18.85,0,Viral
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,Harpercollins,Non-Fiction,32.0,39.31,18.6,3,467,In stock,https://books.toscrape.com/catalogue/the-bridge-to-consciousness-im-writing-the-bridge-between-science-and-our-old-and-new-beliefs_840/index.html,2026-03-16 17:01:13,Mid (£20–£35),10–25%,Average,7.31,0,High
The Artist's Way: A Spiritual Path to Higher Creativity,Harpercollins,Fiction,38.49,55.28,30.37,5,466,In stock,https://books.toscrape.com/catalogue/the-artists-way-a-spiritual-path-to-higher-creativity_839/index.html,2026-03-16 17:01:13,Premium (£35–£60),25–40%,Excellent,16.79,1,High
The Art of War,Oxfordpress,Science,33.34,48.28,30.94,5,1991,In stock,https://books.toscrape.com/catalogue/the-art-of-war_838/index.html,2026-03-16 17:01:13,Mid (£20–£35),25–40%,Excellent,14.94,1,Viral
The Argonauts,Penguinbooks,Children,10.93,15.94,31.43,2,467,In stock,https://books.toscrape.com/catalogue/the-argonauts_837/index.html,2026-03-16 17:01:13,Economy (£10–£20),25–40%,Poor,5.01,0,High
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,Simonschuster,Self-Help,27.55,31.06,11.3,3,1555,In stock,https://books.toscrape.com/catalogue/the-10-entrepreneur-live-your-startup-dream-without-quitting-your-day-job_836/index.html,2026-03-16 17:01:13,Mid (£20–£35),10–25%,Average,3.51,0,Viral
Suddenly in Love (Lake Haven #1),Bloomsbury,History,55.99,72.93,23.23,2,80,In stock,https://books.toscrape.com/catalogue/suddenly-in-love-lake-haven-1_835/index.html,2026-03-16 17:01:13,Premium (£35–£60),10–25%,Poor,16.94,0,Moderate
Something More Than This,Oxfordpress,Science,16.24,23.28,30.24,4,1947,In stock,https://books.toscrape.com/catalogue/something-more-than-this_834/index.html,2026-03-16 17:01:13,Economy (£10–£20),25–40%,Good,7.04,1,Viral
Soft Apocalypse,Cambridgepress,Children,26.12,28.77,9.21,2,896,In stock,https://books.toscrape.com/catalogue/soft-apocalypse_833/index.html,2026-03-16 17:01:13,Mid (£20–£35),<10%,Poor,2.65,0,Viral
So You've Been Publicly Shamed,Bloomsbury,Science,12.23,14.84,17.59,2,1850,In stock,https://books.toscrape.com/catalogue/so-youve-been-publicly-shamed_832/index.html,2026-03-16 17:01:13,Economy (£10–£20),10–25%,Poor,2.61,0,Viral
Shoe Dog: A Memoir by the Creator of NIKE,Randomhouse,History,23.99,33.98,29.4,2,18,In stock,https://books.toscrape.com/catalogue/shoe-dog-a-memoir-by-the-creator-of-nike_831/index.html,2026-03-16 17:01:13,Mid (£20–£35),25–40%,Poor,9.99,0,Low
"Shobu Samurai, Project Aryoku (#3)",Randomhouse,Fiction,29.06,30.65,5.19,3,734,In stock,https://books.toscrape.com/catalogue/shobu-samurai-project-aryoku-3_830/index.html,2026-03-16 17:01:13,Mid (£20–£35),<10%,Average,1.59,0,Viral
Secrets and Lace (Fatal Hearts #1),Randomhouse,Children,20.27,25.02,18.98,1,1717,In stock,https://books.toscrape.com/catalogue/secrets-and-lace-fatal-hearts-1_829/index.html,2026-03-16 17:01:13,Mid (£20–£35),10–25%,Very Poor,4.75,0,Viral
Scarlett Epstein Hates It Here,Macmillan,Non-Fiction,43.55,61.54,29.23,5,929,In stock,https://books.toscrape.com/catalogue/scarlett-epstein-hates-it-here_828/index.html,2026-03-16 17:01:13,Premium (£35–£60),25–40%,Excellent,17.99,1,Viral
Romero and Juliet: A Tragic Tale of Love and Zombies,Macmillan,Technology,36.94,43.07,14.23,1,1660,In stock,https://books.toscrape.com/catalogue/romero-and-juliet-a-tragic-tale-of-love-and-zombies_827/index.html,2026-03-16 17:01:13,Premium (£35–£60),10–25%,Very Poor,6.13,0,Viral
Redeeming Love,Hachettebook,History,20.47,22.34,8.37,5,953,In stock,https://books.toscrape.com/catalogue/redeeming-love_826/index.html,2026-03-16 17:01:13,Mid (£20–£35),<10%,Excellent,1.87,0,Viral
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,Oxfordpress,Self-Help,41.06,51.3,19.96,1,774,In stock,https://books.toscrape.com/catalogue/poses-for-artists-volume-1-dynamic-and-sitting-poses-an-essential-reference-for-figure-drawing-and-the-human-form_825/index.html,2026-03-16 17:01:13,Premium (£35–£60),10–25%,Very Poor,10.24,0,Viral
Poems That Make Grown Women Cry,Bloomsbury,Self-Help,14.19,17.43,18.59,4,718,In stock,https://books.toscrape.com/catalogue/poems-that-make-grown-women-cry_824/index.html,2026-03-16 17:01:13,Economy (£10–£20),10–25%,Good,3.24,0,Viral
"Nightingale, Sing",Hachettebook,History,38.28,46.62,17.89,1,982,In stock,https://books.toscrape.com/catalogue/nightingale-sing_823/index.html,2026-03-16 17:01:13,Premium (£35–£60),10–25%,Very Poor,8.34,0,Viral
Night Sky with Exit Wounds,Simonschuster,Biography,41.05,58.57,29.91,1,1002,In stock,https://books.toscrape.com/catalogue/night-sky-with-exit-wounds_822/index.html,2026-03-16 17:01:13,Premium (£35–£60),25–40%,Very Poor,17.52,0,Viral
Mrs. Houdini,Simonschuster,Children,30.25,41.52,27.14,5,1379,In stock,https://books.toscrape.com/catalogue/mrs-houdini_821/index.html,2026-03-16 17:01:13,Mid (£20–£35),25–40%,Excellent,11.27,0,Viral
Modern Romance,Penguinbooks,Self-Help,28.26,40.77,30.68,5,339,In stock,https://books.toscrape.com/catalogue/modern-romance_820/index.html,2026-03-16 17:01:18,Mid (£20–£35),25–40%,Excellent,12.51,1,High
Miss Peregrineâs Home for Peculiar Children (Miss Peregrineâs Peculiar Children #1),Macmillan,Fiction,10.76,14.73,26.95,1,1155,In stock,https://books.toscrape.com/catalogue/miss-peregrines-home-for-peculiar-children-miss-peregrines-peculiar-children-1_819/index.html,2026-03-16 17:01:18,Economy (£10–£20),25–40%,Very Poor,3.97,0,Viral
Louisa: The Extraordinary Life of Mrs. Adams,Oxfordpress,Self-Help,16.85,25.23,33.21,2,386,In stock,https://books.toscrape.com/catalogue/louisa-the-extraordinary-life-of-mrs-adams_818/index.html,2026-03-16 17:01:18,Economy (£10–£20),25–40%,Poor,8.38,0,High
Little Red,Randomhouse,Self-Help,13.47,19.78,31.9,3,860,In stock,https://books.toscrape.com/catalogue/little-red_817/index.html,2026-03-16 17:01:18,Economy (£10–£20),25–40%,Average,6.31,0,Viral
Library of Souls (Miss Peregrineâs Peculiar Children #3),Hachettebook,Self-Help,48.56,64.86,25.13,5,690,In stock,https://books.toscrape.com/catalogue/library-of-souls-miss-peregrines-peculiar-children-3_816/index.html,2026-03-16 17:01:18,Premium (£35–£60),25–40%,Excellent,16.3,0,Viral
Large Print Heart of the Pride,Simonschuster,Biography,19.15,21.33,10.22,2,1855,In stock,https://books.toscrape.com/catalogue/large-print-heart-of-the-pride_815/index.html,2026-03-16 17:01:18,Economy (£10–£20),10–25%,Poor,2.18,0,Viral
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,Simonschuster,History,57.36,72.21,20.57,4,1996,In stock,https://books.toscrape.com/catalogue/i-had-a-nice-time-and-other-lies-how-to-find-love-sht-like-that_814/index.html,2026-03-16 17:01:18,Premium (£35–£60),10–25%,Good,14.85,0,Viral
Hollow City (Miss Peregrineâs Peculiar Children #2),Simonschuster,Non-Fiction,42.98,46.46,7.49,1,716,In stock,https://books.toscrape.com/catalogue/hollow-city-miss-peregrines-peculiar-children-2_813/index.html,2026-03-16 17:01:18,Premium (£35–£60),<10%,Very Poor,3.48,0,Viral
Grumbles,Hachettebook,Technology,22.16,25.17,11.96,2,1925,In stock,https://books.toscrape.com/catalogue/grumbles_812/index.html,2026-03-16 17:01:18,Mid (£20–£35),10–25%,Poor,3.01,0,Viral
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,Bloomsbury,Biography,49.43,61.92,20.17,4,930,In stock,https://books.toscrape.com/catalogue/full-moon-over-noahs-ark-an-odyssey-to-mount-ararat-and-beyond_811/index.html,2026-03-16 17:01:18,Premium (£35–£60),10–25%,Good,12.49,0,Viral
Frostbite (Vampire Academy #2),Oxfordpress,Science,29.99,39.38,23.84,5,673,In stock,https://books.toscrape.com/catalogue/frostbite-vampire-academy-2_810/index.html,2026-03-16 17:01:18,Mid (£20–£35),10–25%,Excellent,9.39,0,Viral
Follow You Home,Oxfordpress,Children,21.36,27.37,21.96,1,583,In stock,https://books.toscrape.com/catalogue/follow-you-home_809/index.html,2026-03-16 17:01:18,Mid (£20–£35),10–25%,Very Poor,6.01,0,Viral
First Steps for New Christians (Print Edition),Harpercollins,Self-Help,29.0,33.36,13.07,1,933,In stock,https://books.toscrape.com/catalogue/first-steps-for-new-christians-print-edition_808/index.html,2026-03-16 17:01:18,Mid (£20–£35),10–25%,Very Poor,4.36,0,Viral
Finders Keepers (Bill Hodges Trilogy #2),Penguinbooks,History,53.53,70.74,24.33,5,1885,In stock,https://books.toscrape.com/catalogue/finders-keepers-bill-hodges-trilogy-2_807/index.html,2026-03-16 17:01:18,Premium (£35–£60),10–25%,Excellent,17.21,0,Viral
"Fables, Vol. 1: Legends in Exile (Fables #1)",Macmillan,History,41.62,62.28,33.17,4,738,In stock,https://books.toscrape.com/catalogue/fables-vol-1-legends-in-exile-fables-1_806/index.html,2026-03-16 17:01:18,Premium (£35–£60),25–40%,Good,20.66,1,Viral
Eureka Trivia 6.0,Hachettebook,Biography,54.59,57.65,5.31,4,1707,In stock,https://books.toscrape.com/catalogue/eureka-trivia-60_805/index.html,2026-03-16 17:01:18,Premium (£35–£60),<10%,Good,3.06,0,Viral
Drive: The Surprising Truth About What Motivates Us,Scholastic,Non-Fiction,34.95,46.69,25.14,4,126,In stock,https://books.toscrape.com/catalogue/drive-the-surprising-truth-about-what-motivates-us_804/index.html,2026-03-16 17:01:18,Mid (£20–£35),25–40%,Good,11.74,0,Moderate
Done Rubbed Out (Reightman & Bailey #1),Randomhouse,Children,37.72,43.29,12.87,5,1671,In stock,https://books.toscrape.com/catalogue/done-rubbed-out-reightman-bailey-1_803/index.html,2026-03-16 17:01:18,Premium (£35–£60),10–25%,Excellent,5.57,0,Viral
